Player ID,Player Name,Match Number,Overs Bowled,Balls_Bowled,Maidens,Runs Conceded,Wickets,Economy Rate,Dot Ball %,Boundary %,Extras Given,Impact Wickets Per Over,Bowling Strike Rate,Bowling Average
13217,Arshdeep Singh,1616,3.3,23,0,20,2,6.06,65.22,8.7,2,0.97,11.5,10
9647,Hardik Pandya,1616,4,25,0,34,4,8.5,44,16,1,1.36,6.25,8.5
7910,Yuzvendra Chahal,1616,4,24,0,33,2,8.25,37.5,16.67,0,0.65,12,16.5
8808,Axar Patel,1616,1.5,13,0,24,0,16,23.08,23.08,2,0,0,0
9311,Jasprit Bumrah,1628,3,18,0,10,2,3.33,61.11,5.56,0,1.06,9,5
9647,Hardik Pandya,1628,3,18,0,30,2,10,33.33,22.22,0,0.81,9,15
7910,Yuzvendra Chahal,1628,2,12,0,10,2,5,41.67,8.33,0,1.38,6,5
587,Ravindra Jadeja,1628,2,12,0,22,0,11,8.33,25,0,0,0,0
9781,Avesh Khan,1631,4,26,0,45,1,11.25,50,19.23,2,0.35,26,45
14659,Ravi Bishnoi,1631,4,25,0,31,2,7.75,44,12,1,0.69,12.5,15.5
587,Ravindra Jadeja,1631,4,25,0,45,0,11.25,32,24,1,0,0,0
7836,Deepak Chahar,1467,3,18,0,28,1,9.33,50,27.78,0,0.45,18,28
7910,Yuzvendra Chahal,1467,4,25,0,34,1,8.5,52,20,1,0.36,25,34
14659,Ravi Bishnoi,1467,4,30,0,22,2,5.5,76.67,3.33,6,0.88,15,11
7836,Deepak Chahar,1473,4,24,0,40,0,10,33.33,25,0,0,0,0
7910,Yuzvendra Chahal,1473,4,26,0,31,1,7.75,30.77,11.54,2,0.31,26,31
14659,Ravi Bishnoi,1473,3.5,26,0,30,1,8.57,42.31,11.54,3,0.39,26,30
7836,Deepak Chahar,1479,1.5,11,0,15,2,10,54.55,27.27,0,1.88,5.5,7.5
9781,Avesh Khan,1479,4,25,0,43,0,10.75,44,28,1,0,0,0
14659,Ravi Bishnoi,1479,4,26,0,29,0,7.25,53.85,11.54,2,0,0,0
9311,Jasprit Bumrah,1492,3,18,0,19,0,6.33,38.89,11.11,0,0,0,0
7910,Yuzvendra Chahal,1492,3,18,0,11,1,3.67,44.44,0,0,0.48,18,11
587,Ravindra Jadeja,1492,4,24,0,28,1,7,37.5,12.5,0,0.33,24,28
9311,Jasprit Bumrah,1493,4,26,0,26,1,6.5,61.54,15.38,2,0.38,26,26
7910,Yuzvendra Chahal,1493,4,24,0,27,1,6.75,29.17,12.5,0,0.31,24,27
587,Ravindra Jadeja,1493,4,24,0,37,1,9.25,33.33,20.83,0,0.31,24,37
10808,Mohammed Siraj,1494,4,24,0,22,1,5.5,54.17,12.5,0,0.37,24,22
9781,Avesh Khan,1494,4,26,0,28,2,7,65.38,11.54,2,0.8,13,14
14659,Ravi Bishnoi,1494,3.5,26,0,33,1,9.43,30.77,11.54,3,0.36,26,33
9781,Avesh Khan,1554,3.5,27,0,36,0,10.29,44.44,18.52,4,0,0,0
7910,Yuzvendra Chahal,1554,2.1,13,0,26,0,12.38,30.77,38.46,0,0,0,0
9647,Hardik Pandya,1554,1,6,0,18,0,18,50,50,0,0,0,0
8808,Axar Patel,1554,4,24,0,40,1,10,12.5,16.67,0,0.26,24,40
9781,Avesh Khan,1569,3,18,0,18,0,6,61.11,16.67,0,0,0,0
9647,Hardik Pandya,1569,3,18,0,31,0,10.33,33.33,27.78,0,0,0,0
7910,Yuzvendra Chahal,1569,4,25,0,49,1,12.25,32,28,1,0.3,25,49
8808,Axar Patel,1569,1,6,0,19,0,19,0,50,0,0,0,0
9428,Shreyas Iyer,1569,0.2,2,0,2,0,10,50,0,0,0,0,0
9781,Avesh Khan,1571,4,24,0,35,0,8.75,37.5,20.83,0,0,0,0
8808,Axar Patel,1571,4,24,0,29,1,7.25,50,12.5,0,0.36,24,29
7910,Yuzvendra Chahal,1571,4,27,0,20,3,5,51.85,3.7,3,1.12,9,6.67
9647,Hardik Pandya,1572,1,6,0,12,0,12,16.67,33.33,0,0,0,0
9781,Avesh Khan,1572,4,24,0,23,5,5.75,62.5,8.33,0,1.98,4.8,4.6
7910,Yuzvendra Chahal,1572,4,25,0,21,2,5.25,52,8,1,0.74,12.5,10.5
8808,Axar Patel,1572,3.5,23,0,19,1,5.43,52.17,8.7,0,0.42,23,19
13217,Arshdeep Singh,1842,4,25,0,33,3,8.25,44,16,1,1.02,8.33,11
7909,Mohammed Shami,1842,4,25,0,26,1,6.5,60,16,1,0.38,25,26
9647,Hardik Pandya,1842,4,24,0,31,3,7.75,41.67,16.67,0,1,8,10.33
8808,Axar Patel,1842,1,6,0,21,0,21,33.33,50,0,0,0,0
13217,Arshdeep Singh,1848,4,26,0,39,2,9.75,38.46,23.08,2,0.63,13,19.5
7909,Mohammed Shami,1848,4,24,0,27,1,6.75,41.67,8.33,0,0.34,24,27
8808,Axar Patel,1848,4,24,0,18,2,4.5,45.83,0,0,0.73,12,9
9647,Hardik Pandya,1848,1,7,0,9,0,9,28.57,0,1,0,0,0
13217,Arshdeep Singh,1853,4,25,0,25,2,6.25,56,16,1,0.74,12.5,12.5
7909,Mohammed Shami,1853,4,24,0,13,1,3.25,62.5,4.17,0,0.4,24,13
9647,Hardik Pandya,1853,4,24,0,33,1,8.25,33.33,12.5,0,0.32,24,33
13217,Arshdeep Singh,1860,4,24,0,40,2,10,41.67,25,0,0.65,12,20
7909,Mohammed Shami,1860,3,18,0,25,1,8.33,38.89,16.67,0,0.44,18,25
8808,Axar Patel,1860,1,6,0,6,0,6,33.33,0,0,0,0,0
9647,Hardik Pandya,1860,3,18,0,28,2,9.33,44.44,22.22,0,0.89,9,14
13217,Arshdeep Singh,1873,1.5,14,0,9,1,6,78.57,7.14,3,1.17,14,9
7909,Mohammed Shami,1873,2,12,0,14,2,7,58.33,16.67,0,1.5,6,7
9647,Hardik Pandya,1873,3,21,0,17,2,5.67,61.9,4.76,3,1.06,10.5,8.5
8808,Axar Patel,1873,3.2,20,0,41,1,12.81,20,30,0,0.33,20,41
13217,Arshdeep Singh,1878,2,13,0,15,0,7.5,38.46,15.38,1,0,0,0
8808,Axar Patel,1878,4,24,0,30,0,7.5,41.67,16.67,0,0,0,0
7909,Mohammed Shami,1878,3,18,0,39,0,13,38.89,38.89,0,0,0,0
9647,Hardik Pandya,1878,3,18,0,34,0,11.33,27.78,22.22,0,0,0,0
9647,Hardik Pandya,1580,2,13,0,26,1,13,46.15,30.77,1,0.65,13,26
9781,Avesh Khan,1580,2,13,0,22,1,11,38.46,23.08,1,0.63,13,22
8808,Axar Patel,1580,1,6,0,12,0,12,0,33.33,0,0,0,0
7910,Yuzvendra Chahal,1580,3,18,0,12,1,4,38.89,0,0,0.46,18,12
9647,Hardik Pandya,1586,2,13,0,21,0,10.5,69.23,23.08,1,0,0,0
14659,Ravi Bishnoi,1586,4,27,0,43,1,10.75,44.44,22.22,3,0.33,27,43
8808,Axar Patel,1586,2,12,0,12,0,6,25,8.33,0,0,0,0
13217,Arshdeep Singh,1702,4,26,0,25,2,6.25,46.15,7.69,2,0.71,13,12.5
587,Ravindra Jadeja,1702,4,24,0,26,1,6.5,50,16.67,0,0.35,24,26
9647,Hardik Pandya,1702,2,12,0,12,0,6,41.67,8.33,0,0,0,0
14659,Ravi Bishnoi,1702,4,27,0,26,2,6.5,55.56,11.11,3,0.75,13.5,13
13217,Arshdeep Singh,1718,4,25,0,26,1,6.5,44,12,1,0.34,25,26
587,Ravindra Jadeja,1718,3,18,0,16,1,5.33,44.44,5.56,0,0.47,18,16
9647,Hardik Pandya,1718,4,25,0,23,1,5.75,48,8,1,0.36,25,23
9781,Avesh Khan,1718,2.2,15,0,31,1,14.09,40,33.33,1,0.56,15,31
9781,Avesh Khan,1720,3,20,0,47,0,15.67,20,35,2,0,0,0
9647,Hardik Pandya,1720,4,24,0,22,1,5.5,54.17,8.33,0,0.38,24,22
13217,Arshdeep Singh,1720,4,24,0,33,2,8.25,33.33,20.83,0,0.61,12,16.5
9781,Avesh Khan,1725,4,25,0,17,2,4.25,60,8,1,0.78,12.5,8.5
8808,Axar Patel,1725,4,27,0,49,3,12.25,51.85,25.93,3,1.04,9,16.33
13217,Arshdeep Singh,1725,3.1,19,0,14,3,4.52,68.42,10.53,0,1.58,6.33,4.67
14659,Ravi Bishnoi,1725,4,24,0,27,2,6.75,58.33,16.67,0,0.75,12,13.5
8808,Axar Patel,1726,3,19,0,15,3,5,73.68,15.79,1,1.66,6.33,5
13217,Arshdeep Singh,1726,2,12,0,18,0,9,25,25,0,0,0,0
9781,Avesh Khan,1726,2,13,0,20,0,10,53.85,23.08,1,0,0,0
9647,Hardik Pandya,1726,2,12,0,19,0,9.5,25,16.67,0,0,0,0
14659,Ravi Bishnoi,1726,2,18,0,16,4,8,77.78,11.11,6,3.44,4.5,4
13217,Arshdeep Singh,1898,2.2,20,0,29,0,13.18,50,15,6,0,0,0
10808,Mohammed Siraj,1898,4,25,0,25,2,6.25,56,12,1,0.75,12.5,12.5
10945,Washington Sundar,1898,2,12,0,24,1,12,25,33.33,0,0.54,12,24
7910,Yuzvendra Chahal,1898,4,24,0,26,2,6.5,25,4.17,0,0.61,12,13
13217,Arshdeep Singh,1911,4,26,0,42,5,10.5,57.69,26.92,2,1.8,5.2,8.4
10808,Mohammed Siraj,1911,4,25,0,17,4,4.25,60,8,1,1.56,6.25,4.25
7910,Yuzvendra Chahal,1911,3,18,0,35,0,11.67,22.22,27.78,0,0,0,0
13217,Arshdeep Singh,1750,3.5,25,0,33,2,9.43,60,20,2,0.86,12.5,16.5
9647,Hardik Pandya,1750,4,26,0,25,3,6.25,46.15,7.69,2,1.07,8.67,8.33
9781,Avesh Khan,1750,2,12,0,19,1,9.5,33.33,25,0,0.6,12,19
7910,Yuzvendra Chahal,1750,4,24,0,32,0,8,16.67,8.33,0,0,0,0
587,Ravindra Jadeja,1750,2,12,0,12,0,6,33.33,8.33,0,0,0,0
13217,Arshdeep Singh,1754,4,26,0,44,2,11,30.77,30.77,2,0.58,13,22
587,Ravindra Jadeja,1754,4,26,0,15,1,3.75,53.85,0,2,0.38,26,15
9781,Avesh Khan,1754,4,24,0,54,1,13.5,29.17,37.5,0,0.28,24,54
7910,Yuzvendra Chahal,1754,4,24,0,18,0,4.5,45.83,4.17,0,0,0,0
1413,Virat Kohli,1754,1,6,0,6,0,6,16.67,0,0,0,0,0
13217,Arshdeep Singh,1758,3.5,23,0,28,1,8,43.48,13.04,0,0.39,23,28
14659,Ravi Bishnoi,1758,4,27,0,27,1,6.75,40.74,3.7,3,0.35,27,27
9647,Hardik Pandya,1758,4,25,0,44,1,11,28,28,1,0.29,25,44
7910,Yuzvendra Chahal,1758,4,24,0,43,1,10.75,25,29.17,0,0.28,24,43
13217,Arshdeep Singh,1759,3.5,23,0,42,0,12,17.39,21.74,0,0,0,0
9647,Hardik Pandya,1759,4,24,0,36,0,9,25,16.67,0,0,0,0
7910,Yuzvendra Chahal,1759,4,25,0,34,3,8.5,40,16,1,0.99,8.33,11.33
7836,Deepak Chahar,1761,4,24,0,28,0,7,33.33,12.5,0,0,0,0
13217,Arshdeep Singh,1761,2,12,0,7,1,3.5,66.67,8.33,0,0.81,12,7
8808,Axar Patel,1761,4,24,0,24,0,6,41.67,12.5,0,0,0,0
8808,Axar Patel,1788,4,24,0,17,3,4.25,50,4.17,0,1.11,8,5.67
7910,Yuzvendra Chahal,1788,3.2,21,0,42,1,13.12,28.57,33.33,1,0.35,21,42
9647,Hardik Pandya,1788,2,12,0,22,0,11,16.67,33.33,0,0,0,0
9647,Hardik Pandya,1794,1,6,0,10,0,10,33.33,33.33,0,0,0,0
8808,Axar Patel,1794,2,12,0,13,3,6.5,66.67,25,0,2.31,4,4.33
7910,Yuzvendra Chahal,1794,1,6,0,12,0,12,0,16.67,0,0,0,0
9311,Jasprit Bumrah,1794,2,13,0,23,1,11.5,15.38,23.08,1,0.52,13,23
8808,Axar Patel,1796,4,24,0,33,3,8.25,50,29.17,0,1.02,8,11
9311,Jasprit Bumrah,1796,4,24,0,50,0,12.5,20.83,29.17,0,0,0,0
9647,Hardik Pandya,1796,3,18,0,23,0,7.67,55.56,22.22,0,0,0,0
7910,Yuzvendra Chahal,1796,4,24,0,22,2,5.5,33.33,4.17,0,0.66,12,11
7836,Deepak Chahar,1800,4,24,0,24,2,6,58.33,12.5,0,0.76,12,12
13217,Arshdeep Singh,1800,3.5,26,0,32,3,9.14,61.54,19.23,3,1.3,8.67,10.67
8808,Axar Patel,1800,4,25,0,16,1,4,64,8,1,0.4,25,16
7836,Deepak Chahar,1803,3.5,25,0,24,0,6.86,52,12,2,0,0,0
13217,Arshdeep Singh,1803,4,29,0,62,2,15.5,24.14,27.59,5,0.55,14.5,31
8808,Axar Patel,1803,4,24,0,53,1,13.25,20.83,29.17,0,0.27,24,53
7836,Deepak Chahar,1805,3.4,28,0,49,1,14.41,50,21.43,6,0.41,28,49
10808,Mohammed Siraj,1805,4,26,0,45,0,11.25,30.77,23.08,2,0,0,0
8808,Axar Patel,1805,1,6,0,13,0,13,16.67,33.33,0,0,0,0
9647,Hardik Pandya,1984,3,19,0,12,0,4,73.68,10.53,1,0,0,0
7910,Yuzvendra Chahal,1984,2,12,0,26,0,13,16.67,25,0,0,0,0
8808,Axar Patel,1984,3,19,0,31,2,10.33,21.05,15.79,1,0.75,9.5,15.5
9647,Hardik Pandya,1985,2,13,0,13,0,6.5,61.54,7.69,1,0,0,0
13217,Arshdeep Singh,1985,2,17,0,37,0,18.5,35.29,29.41,5,0,0,0
8808,Axar Patel,1985,4,24,0,24,2,6,37.5,8.33,0,0.67,12,12
7910,Yuzvendra Chahal,1985,4,24,0,30,1,7.5,20.83,8.33,0,0.29,24,30
9647,Hardik Pandya,1986,4,26,0,30,2,7.5,57.69,15.38,2,0.75,13,15
13217,Arshdeep Singh,1986,2.4,20,0,20,3,8.33,65,15,4,1.97,6.67,6.67
8808,Axar Patel,1986,3,19,0,20,1,6.67,47.37,10.53,1,0.47,19,20
7910,Yuzvendra Chahal,1986,3,19,0,30,2,10,36.84,15.79,1,0.86,9.5,15
9647,Hardik Pandya,1990,3,19,0,34,0,11.33,21.05,21.05,1,0,0,0
13217,Arshdeep Singh,1990,4,27,0,51,2,12.75,48.15,29.63,3,0.67,13.5,25.5
10945,Washington Sundar,1990,4,24,0,22,2,5.5,45.83,8.33,0,0.71,12,11
9647,Hardik Pandya,1991,4,25,0,25,1,6.25,40,12,1,0.34,25,25
10945,Washington Sundar,1991,2.2,19,0,17,1,7.73,63.16,5.26,5,0.73,19,17
7910,Yuzvendra Chahal,1991,2,13,0,4,1,2,84.62,0,1,0.92,13,4
13217,Arshdeep Singh,1991,2,12,0,8,2,4,58.33,0,0,1.58,6,4
9647,Hardik Pandya,1992,4,24,0,16,4,4,58.33,4.17,0,1.56,6,4
13217,Arshdeep Singh,1992,3,18,0,17,2,5.67,55.56,11.11,0,1,9,8.5
13217,Arshdeep Singh,2188,4,28,0,31,2,7.75,57.14,14.29,4,0.75,14,15.5
10754,Mukesh Kumar,2188,3,19,0,24,0,8,15.79,10.53,1,0,0,0
8808,Axar Patel,2188,2,12,0,22,0,11,33.33,25,0,0,0,0
7910,Yuzvendra Chahal,2188,3,18,0,24,2,8,38.89,16.67,0,0.87,9,12
9647,Hardik Pandya,2188,4,25,0,27,1,6.75,48,12,1,0.36,25,27
9647,Hardik Pandya,2191,4,24,0,35,3,8.75,41.67,20.83,0,0.98,8,11.67
13217,Arshdeep Singh,2191,4,24,0,34,1,8.5,29.17,16.67,0,0.3,24,34
10754,Mukesh Kumar,2191,3.5,23,0,36,1,10.29,34.78,21.74,0,0.35,23,36
14659,Ravi Bishnoi,2191,4,24,0,31,0,7.75,50,20.83,0,0,0,0
